Реестровый номер закупки;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона;;;;
№0124200000617000988;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ДЕПАРТАМЕНТ ГОРОДСКОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД АРХАНГЕЛЬСК""";КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;27.03.2017;03.12.2017;Определение поставщика завершено;;27.03.2017;13.04.2017;;;;;
№0373100119817000004;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";09.11.2017;30.11.2017;Определение поставщика завершено;;10.11.2017;30.11.2017;;;;;
№31705786463;30.11.32.111: Буксиры морские;30.11.32.111: Буксиры морские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";;25.11.2017;25.11.2017;Закупка завершена;;25.11.2017;;;;;;
№31705438940;"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;18.08.2017;18.08.2017;Закупка завершена;;18.08.2017;31.08.2017;;;;;
№31705371852;30.11: Корабли, суда и плавучие конструкции;30.11: Корабли, суда и плавучие конструкции;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СЕВЕРНОЕ МАШИНОСТРОИТЕЛЬНОЕ ПРЕДПРИЯТИЕ""";;28.07.2017;28.07.2017;Закупка завершена;;28.07.2017;;;;;;
№31705271521;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСНЕФТЬ - СЕРВИС""";;28.06.2017;28.06.2017;Закупка отменена;;28.06.2017;19.07.2017;;;;;
№31705190221;;;;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ""";05.06.2017;05.06.2017;Закупка завершена;;05.06.2017;26.06.2017;;;;;
№0171100003717000008;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;17.04.2017;23.05.2017;Определение поставщика завершено;;17.04.2017;06.05.2017;;;;;
№31705031915;;;;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ""";19.04.2017;19.04.2017;Закупка отменена;;19.04.2017;10.05.2017;;;;;
№0173100005017000002;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;20.02.2017;28.03.2017;Определение поставщика завершено;;20.02.2017;09.03.2017;;;;;
№31704807915;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;17.02.2017;17.02.2017;Закупка завершена;;17.02.2017;;;;;;
№31704733029;30.11.32.130: Катера судовые буксирные;30.11.32.130: Катера судовые буксирные;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - ПРИКАМЬЕ""";;31.01.2017;31.01.2017;Закупка завершена;;31.01.2017;21.02.2017;;;;;
№0424100000216000079;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"Акционерное общество ""Центр судоремонта ""Звездочка""";"Акционерное общество ""Центр судоремонта ""Звездочка""";15.09.2016;02.11.2016;Определение поставщика завершено;;15.09.2016;07.10.2016;;;;;
№0424100000316000015;30.11.50.120: Понтоны;30.11.50.120: Понтоны;"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";14.09.2016;14.10.2016;Определение поставщика завершено;;15.09.2016;05.10.2016;;;;;
№31604051550;30.11.32.114: Буксиры морские спасательные;30.11.32.114: Буксиры морские спасательные;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;31.08.2016;31.08.2016;Закупка завершена;;31.08.2016;;;;;;
№31603891359;30.11: Корабли, суда и плавучие конструкции;30.11: Корабли, суда и плавучие конструкции;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;15.07.2016;29.07.2016;Закупка отменена;;15.07.2016;04.08.2016;;;;;
№0424100000316000004;30.11.50.120: Понтоны;30.11.50.120: Понтоны;"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";"Открытое акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";15.02.2016;24.03.2016;Определение поставщика завершено;;16.02.2016;18.03.2016;;;;;
№0173100005016000002;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;17.02.2016;12.03.2016;Определение поставщика завершено;;17.02.2016;06.03.2016;;;;;
№31806545631;30.11.22.120: Суда наливные речные;30.11.22.120: Суда наливные речные;"АКЦИОНЕРНОЕ ОБЩЕСТВО СУДОХОДНАЯ КОМПАНИЯ ""АЛРОСА-ЛЕНА""";;30.05.2018;20.07.2018;Закупка завершена;;30.05.2018;15.06.2018;;;;;
№31604621288;30.11.21.110: Суда морские пассажирские;30.11.21.110: Суда морские пассажирские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;29.12.2016;29.12.2016;Закупка завершена;;29.12.2016;;;;;;
№0171100003717000010;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;09.06.2017;04.12.2017;Определение поставщика завершено;;09.06.2017;25.06.2017;;;;;
№31603299363;30.11.32.130: Катера судовые буксирные;30.11.32.130: Катера судовые буксирные;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - СИБИРЬ""";;09.02.2016;09.02.2016;Закупка завершена;;09.02.2016;01.03.2016;;;;;
№0172100010118000002;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО Г. САНКТ-ПЕТЕРБУРГУ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО Г. САНКТ-ПЕТЕРБУРГУ;12.02.2018;06.03.2018;Определение поставщика завершено;;12.02.2018;28.02.2018;;;;;
№0372100047320000043;"28.11.11.000: Двигатели лодочные подвесные; 30.11.33.190: Суда прочие";"30.11.33.190-00000004: Катер (мотолодка); 30.11.33.190-00000003: Катер (мотолодка)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЕВЕРО-ЗАПАДНОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЕВЕРО-ЗАПАДНОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";04.03.2020;11.03.2020;Определение поставщика завершено;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;04.03.2020;11.03.2020;;;;;
№0173100004519001727;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;17.09.2019;25.09.2019;Определение поставщика завершено;;17.09.2019;04.10.2019;;;;;
№0172100010118000001;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО Г. САНКТ-ПЕТЕРБУРГУ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО Г. САНКТ-ПЕТЕРБУРГУ;12.02.2018;13.03.2018;Определение поставщика завершено;;12.02.2018;12.03.2018;;;;;
№0348100046519000005;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНАЯ БАЗА ИЗМЕРИТЕЛЬНОЙ ТЕХНИКИ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНАЯ БАЗА ИЗМЕРИТЕЛЬНОЙ ТЕХНИКИ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ""";02.04.2019;29.05.2019;Определение поставщика завершено;;02.04.2019;17.05.2019;;;;;
№0171100003717000009;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;18.04.2017;04.12.2017;Определение поставщика завершено;;18.04.2017;03.05.2017;;;;;
№0195400000219000628;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;04.10.2019;17.10.2019;Определение поставщика завершено;;04.10.2019;16.10.2019;;;;;
№0373100064620000538;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 55056""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 55056""";13.08.2020;20.08.2020;Определение поставщика завершено;;14.08.2020;02.09.2020;;;;;
№0138200001218000004;30.11.24.115: Суда грузопассажирские морские;30.11.24.115: Суда грузопассажирские морские;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО ФИНАНСОВ КАМЧАТСКОГО КРАЯ;28.02.2018;28.03.2018;Определение поставщика завершено;;28.02.2018;16.03.2018;;;;;
№0138200001218000012;30.11.24.115: Суда грузопассажирские морские;30.11.24.115: Суда грузопассажирские морские;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО ФИНАНСОВ КАМЧАТСКОГО КРАЯ;13.04.2018;15.05.2018;Определение поставщика завершено;;13.04.2018;07.05.2018;;;;;
№31705441187;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;21.08.2017;06.09.2017;Закупка отменена;;21.08.2017;21.09.2017;;;;;
№31705516049;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;13.09.2017;06.10.2017;Закупка завершена;;13.09.2017;02.11.2017;;;;;
№0373100089319000060;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";09.09.2019;20.09.2019;Определение поставщика завершено;;09.09.2019;18.09.2019;;;;;
№0373100089319000059;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";09.09.2019;20.09.2019;Определение поставщика завершено;;09.09.2019;18.09.2019;;;;;
№0373100089319000061;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";10.09.2019;20.09.2019;Определение поставщика завершено;;10.09.2019;18.09.2019;;;;;
№0373100064621000383;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 55056""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 55056""";25.05.2021;25.05.2021;Подача заявок;;26.05.2021;11.06.2021;;;;;
№0373100056518000021;"28.11.11.000: Двигатели лодочные подвесные; 30.11.50.190: Конструкции плавучие прочие, не включенные в другие группировки";"28.11.11.000: Двигатели лодочные подвесные; 30.11.50.190: Конструкции плавучие прочие, не включенные в другие группировки";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ БАССЕЙНОВОЕ УПРАВЛЕНИЕ ПО РЫБОЛОВСТВУ И СОХРАНЕНИЮ ВОДНЫХ БИОЛОГИЧЕСКИХ РЕСУРСОВ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ БАССЕЙНОВОЕ УПРАВЛЕНИЕ ПО РЫБОЛОВСТВУ И СОХРАНЕНИЮ ВОДНЫХ БИОЛОГИЧЕСКИХ РЕСУРСОВ""";19.11.2018;12.12.2018;Определение поставщика отменено;;19.11.2018;24.12.2018;;;;;
№0167200003417005331;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ТЮМЕНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ""";УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;16.10.2017;01.11.2017;Определение поставщика завершено;;16.10.2017;01.11.2017;;;;;
№0306200007619000042;30.11.33.190: Суда прочие;30.11.33.190-00000004: Катер (мотолодка);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАРЕЛИЯ ""КАРЕЛЬСКАЯ РЕСПУБЛИКАНСКАЯ ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАРЕЛИЯ ""КАРЕЛЬСКАЯ РЕСПУБЛИКАНСКАЯ ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА""";15.11.2019;15.11.2019;Определение поставщика отменено;;15.11.2019;22.11.2019;;;;;
№0306200007619000044;30.11.33.190: Суда прочие;30.11.33.190-00000004: Катер (мотолодка);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАРЕЛИЯ ""КАРЕЛЬСКАЯ РЕСПУБЛИКАНСКАЯ ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАРЕЛИЯ ""КАРЕЛЬСКАЯ РЕСПУБЛИКАНСКАЯ ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА""";18.11.2019;29.11.2019;Определение поставщика завершено;;18.11.2019;26.11.2019;;;;;
№31603336612;30.11.32.130: Катера судовые буксирные;30.11.32.130: Катера судовые буксирные;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";;19.02.2016;06.04.2016;Закупка завершена;;19.02.2016;10.03.2016;;;;;
№0195400000219000673;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;29.10.2019;14.11.2019;Определение поставщика завершено;;29.10.2019;13.11.2019;;;;;
№0332100003217000040;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ;28.04.2017;03.12.2017;Определение поставщика завершено;;28.04.2017;15.05.2017;;;;;
№0332100003217000037;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ;10.04.2017;28.04.2017;Определение поставщика завершено;;10.04.2017;26.04.2017;;;;;
№0372100047318000144;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЕВЕРО-ЗАПАДНОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЕВЕРО-ЗАПАДНОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";07.08.2018;24.08.2018;Определение поставщика завершено;;07.08.2018;24.08.2018;;;;;
№0190300001319001239;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ПУРОВСКОГО РАЙОНА;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ПУРОВСКИЙ РАЙОН;12.11.2019;04.12.2019;Определение поставщика завершено;;12.11.2019;29.11.2019;;;;;
