Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32514992746;Прочие;Поставка фрезерного земснаряда типа JLCSD6000 (или аналог) и судна обеспечения фрезерного земснаряда для нужд Сахалинского филиала ФГУП «Росморпорт» (ЦА 46-25);;;1;Поставка фрезерного земснаряда типа JLCSD6000 (или аналог) и судна обеспечения фрезерного земснаряда для нужд Сахалинского филиала ФГУП «Росморпорт» (ЦА 46-25);1020000000.00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;30.06.2025;30.06.2025;Подача заявок;;30.06.2025;31.07.2025;
44-ФЗ;№0373100119622000001;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового  класса. Многофункциональное аварийно-спасательное судно мощностью 7 МВт. Проект MPSV06M;;'221770201740077100100100100033011414';;;7463133100.00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";28.09.2022;18.11.2022;Определение поставщика завершено;;;15.11.2022;
44-ФЗ;№0324100010421000163;Электронный аукцион;Приобретение в собственность Российской Федерации недвижимого имущества (самоходного роторно-ковшевого земснаряда  с фрезерным рыхлителем) на условиях  финансовой аренды (лизинга);;'211290400699429040100101630013011244';;;3535814640.00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ СЕВЕРО-ДВИНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ СЕВЕРО-ДВИНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";23.12.2021;12.01.2022;Определение поставщика завершено;;23.12.2021;11.01.2022;
223-ФЗ;№32111001581;Прочие;строительство и поставка пассажирского судна RPV 8714;;;1;строительство и поставка пассажирского судна RPV 8714;1500000000.00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;28.12.2021;28.12.2021;Закупка завершена;;28.12.2021;24.01.2022;
223-ФЗ;№32111001508;Прочие;Строительство и поставка судов СПК типа «Метеор»;;;1;Строительство и поставка судов СПК типа «Метеор»;1230000000.00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;28.12.2021;28.12.2021;Закупка завершена;;28.12.2021;24.01.2022;
223-ФЗ;№32111001294;Прочие;строительство и поставка пассажирского судна СПК «Олимпия»;;;1;строительство и поставка пассажирского судна СПК «Олимпия»;1936940000.00;RUB;;;;;30.11.21.110: Суда морские пассажирские;30.11.21.110: Суда морские пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;28.12.2021;28.12.2021;Закупка завершена;;28.12.2021;24.01.2022;
223-ФЗ;№32110872199;Прочие;строительство и поставка пассажирского судна RPV 8714;;;1;строительство и поставка пассажирского судна RPV 8714;1500000000.00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;
223-ФЗ;№32110871910;Прочие;строительство и поставка Морского грузопассажирского судна;;;1;строительство и поставка Морского грузопассажирского судна;6000000000.00;RUB;;;;;30.11.21.110: Суда морские пассажирские;30.11.21.110: Суда морские пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;
223-ФЗ;№32110871799;Прочие;Строительство и поставка судов СПК типа «Метеор»;;;1;Строительство и поставка судов СПК типа «Метеор»;1230000000.00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;
223-ФЗ;№32110871447;Прочие;строительство и поставка пассажирского судна СПК «Олимпия»;;;1;строительство и поставка пассажирского судна СПК «Олимпия»;1936940000.00;RUB;;;;;30.11.21.110: Суда морские пассажирские;30.11.21.110: Суда морские пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;
223-ФЗ;№32110871227;Прочие;Строительство и поставка Самоходного земснаряда 93.159;;;1;Строительство и поставка Самоходного земснаряда 93.159;2400000000.00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;
223-ФЗ;№32110737619;Прочие;"Право заключения договора на выполнение работ по строительству и доставке модернизированных плавучих энергоблоков (ОКПД 2 – 30.11.33.190 «Суда прочие»; ОКПД 2 – 42.22.13.200 «Электростанции атомные»)";;;1;"Право заключения договора на выполнение работ по строительству и доставке модернизированных плавучих энергоблоков (ОКПД 2 – 30.11.33.190 «Суда прочие»; ОКПД 2 – 42.22.13.200 «Электростанции атомные»)";190230752514.88;RUB;;;;;"30.11.33.190: Суда прочие; 42.22.13.200: Электростанции атомные";"30.11.33.190: Суда прочие; 42.22.13.200: Электростанции атомные";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;18.10.2021;18.10.2021;Закупка завершена;;18.10.2021;;
44-ФЗ;№0572100000221000004;Электронный аукцион;Строительство головного гидрографического лоцмейстерского судна ледового класса Arc7;;'211781202209678380100100070023011000';;;7067180000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ГИДРОГРАФИЧЕСКОЕ ПРЕДПРИЯТИЕ;28.07.2021;22.09.2021;Определение поставщика завершено;;28.07.2021;06.09.2021;
44-ФЗ;№0373100119621000005;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового класса. Многофункциональное аварийно-спасательное судно мощностью 18 МВт. Проект IBSV02;;'211770201740077100100100270053011414';;;13296800000.00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";18.06.2021;26.07.2021;Определение поставщика завершено;;18.06.2021;12.07.2021;
44-ФЗ;№0373100119821000001;Открытый конкурс в электронной форме;" Несамоходный землесос класса ""*О 2,0 (лед 10) А"" проекта № 4395";;'211770723151077070100100030013011414';;;3662800000.00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";15.04.2021;12.07.2021;Определение поставщика завершено;;15.04.2021;06.07.2021;
44-ФЗ;№0572100000221000003;Электронный аукцион;Строительство головного гидрографического лоцмейстерского судна ледового класса Arc7;;'211781202209678380100100070013011000';;;7067180000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ГИДРОГРАФИЧЕСКОЕ ПРЕДПРИЯТИЕ;22.06.2021;08.07.2021;Определение поставщика завершено;;22.06.2021;08.07.2021;
44-ФЗ;№0373100119621000003;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового класса. Многоцелевой морской буксир проекта Т3150;;'211770201740077100100100200033011414';;;4240600000.00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";11.05.2021;30.06.2021;Определение поставщика завершено;;11.05.2021;22.06.2021;
44-ФЗ;№0324100010421000092;Электронный аукцион;Приобретение в собственность Российской Федерации недвижимого имущества (самоходного роторно-ковшевого земснаряда  с фрезерным рыхлителем) на условиях  финансовой аренды (лизинга);;'211290400699429040100101120013011244';;;3535814640.00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ СЕВЕРО-ДВИНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ СЕВЕРО-ДВИНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";09.06.2021;28.06.2021;Определение поставщика завершено;;09.06.2021;25.06.2021;
223-ФЗ;№32110380691;Прочие;Сухогрузное судно проекта RSD59;;;1;Сухогрузное судно проекта RSD59;12870000000.00;RUB;;;;;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;11.06.2021;11.06.2021;Закупка завершена;;11.06.2021;;
44-ФЗ;№0572100000221000001;Электронный аукцион;Строительство головного гидрографического лоцмейстерского судна ледового класса Arc7;;'211781202209678380100100050013011000';;;7067180000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ГИДРОГРАФИЧЕСКОЕ ПРЕДПРИЯТИЕ;25.05.2021;11.06.2021;Определение поставщика завершено;;25.05.2021;11.06.2021;
44-ФЗ;№0373100119621000004;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового класса. Многофункциональное аварийно-спасательное судно мощностью 7 МВт. Проект MPSV06M;;'211770201740077100100100190043011414';;;6951200000.00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";12.05.2021;10.06.2021;Определение поставщика завершено;;12.05.2021;10.06.2021;
44-ФЗ;№0373100119621000002;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового класса. Многофункциональное аварийно-спасательное судно мощностью 4 МВт. Проект MPSV07;;'211770201740077100100100210023011414';;;4899400000.00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";30.04.2021;09.06.2021;Определение поставщика завершено;;30.04.2021;01.06.2021;
44-ФЗ;№0373100119621000001;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового класса. Многофункциональный буксир-спасатель мощностью 2,5-3 МВт. Проект MPSV12.;;'211770201740077100100100120013011414';;;2946500000.00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";05.04.2021;17.05.2021;Определение поставщика завершено;;05.04.2021;28.04.2021;
223-ФЗ;№32110216328;Прочие;Сухогрузное судно проекта RSD59;;;1;Сухогрузное судно проекта RSD59;12870000000.00;RUB;;;;;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГТЛК - ФИНАНС""";;21.04.2021;30.04.2021;Закупка завершена;;21.04.2021;14.05.2021;
44-ФЗ;№0173200001419001717;Открытый конкурс в электронной форме;Поставка речных судов для пассажирских перевозок для нужд ГУП «Мосгортранс»;;'192770500260277050100104310010000000';;;1031622550.27;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСГОРТРАНС""";ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;13.11.2019;25.12.2020;Определение поставщика отменено;;13.11.2019;30.06.2021;
